feature,f-score,odds-ratio,statistical-power,probability-ratio,gini-index,kolmogorov-smirnov,geometric-mean,auc,auprc,mutual-info,deviance,matthews-correlation-coefficient
GENE309X,0.5066666666666666,5.613636363636363,0.2735875846562167,3.130434782608696,0.36962426437301943,0.3677536231884058,0.6689273264831853,0.5691425120772947,0.28353308828289236,-187.746012441157,256.9049036281179,0.3164836122118033
GENE340X,0.4070796460176991,2.3692307692307693,0.1388092856832633,1.5652173913043477,0.36962426437301943,0.15700483091787443,0.5710402407201608,0.5389492753623188,0.25015557462779325,-189.31480039902817,253.42721478384252,0.14468578871373852
GENE86X,0.5454545454545454,31.0625,0.7794000412967427,21.91304347826087,0.309051887387956,0.3967391304347826,0.6871842709362768,0.7044082125603865,0.5693595334035941,-182.58888935610898,248.21304000633006,0.4593914965932208
GENE3993X,0.4036697247706422,4.729411764705882,0.47716881691354385,3.7565217391304344,0.36962426437301943,0.19323671497584544,0.5467294060851866,0.567330917874396,0.2977202042567591,-186.3181523387884,253.70706371191136,0.2562672511034553
GENE162X,0.41071428571428575,3.142857142857143,0.19929189603475128,1.565217391304348,0.35853327297419646,0.15398550724637683,0.5646597025732799,0.4849033816425121,0.23589082184526428,-187.2604594886878,253.91880352310673,0.18248971940174205
GENE161X,0.4482758620689655,4.4,0.23407828555633348,3.130434782608696,0.35853327297419646,0.25966183574879226,0.6265078429634269,0.5477053140096619,0.27821293097294025,-187.2604594886878,252.71928426428508,0.23058372033145697
GENE160X,0.4835164835164836,12.434782608695652,0.2979204610355637,6.260869565217392,0.36962426437301943,0.31763285024154597,0.6520128625624344,0.6669685990338164,0.3241059949612164,-187.03848591594746,253.17007746560296,0.31027556858816535
GENE1003X,0.4181818181818182,6.761904761904762,0.30608103345290777,6.260869565217392,0.35853327297419646,0.1310386473429952,0.5587468725933509,0.49064009661835756,0.2790885097651088,-187.03848591594746,253.53115346625952,0.18248971940174205
GENE1004X,0.4313725490196078,6.761904761904762,0.426627889804973,6.260869565217392,0.35853327297419646,0.2421497584541063,0.6044321006128047,0.5588768115942029,0.3411278975045642,-186.8612868547994,252.24505054305084,0.22892198074230657
GENE1005X,0.42592592592592593,3.5483870967741935,0.25424210752716025,3.130434782608696,0.36962426437301943,0.18659420289855078,0.5820378990598714,0.5552536231884058,0.28835677113813957,-187.60109866492112,253.02051667020976,0.1938599993459332
GENE1006X,0.47368421052631576,6.285714285714286,0.23407828555633348,3.130434782608696,0.36962426437301943,0.29649758454106284,0.6341718324267314,0.6096014492753623,0.2856211820010071,-187.60109866492112,253.30441202043204,0.2557341615232873
GENE1007X,0.43564356435643564,6.285714285714286,0.3130628952745012,3.130434782608696,0.36962426437301943,0.17874396135265702,0.5516772843673705,0.597524154589372,0.3027774554449361,-187.44838336268685,253.83686466942146,0.2149063492682878
GENE207X,0.44680851063829785,7.333333333333333,0.25287385581413513,3.130434782608696,0.36962426437301943,0.21859903381642515,0.5582062368861089,0.582427536231884,0.2787110919004488,-187.746012441157,253.62128676917604,0.2250413993831232
GENE206X,0.41441441441441446,2.75,0.17989592409110527,1.565217391304348,0.36962426437301943,0.1467391304347826,0.5710402407201608,0.5099637681159419,0.2411012658035161,-190.16477994223354,253.42721478384252,0.15940625312500614
GENE153X,0.44,6.8,0.2979204610355637,6.260869565217392,0.36962426437301943,0.19263285024154597,0.5560384374855327,0.5564613526570049,0.27013070072421885,-187.03848591594746,253.77110788335926,0.21056146893116756
GENE152X,0.43478260869565216,6.761904761904762,0.4367440512566514,6.260869565217392,0.36962426437301943,0.2216183574879227,0.6094069343174583,0.6029589371980677,0.3300276616699494,-186.74409853564194,253.70706371191136,0.2502980271666774
GENE151X,0.46753246753246747,6.761904761904762,0.31114260767206803,6.260869565217392,0.36962426437301943,0.28260869565217395,0.6303514854183198,0.653683574879227,0.3309758686821509,-187.03848591594746,252.24505054305084,0.2444144502094572
GENE149X,0.4528301886792453,3.272727272727273,0.21228255925108597,2.0869565217391304,0.36962426437301943,0.2717391304347826,0.6255432421712243,0.5987318840579711,0.2885005695089454,-189.0289068377348,251.86556213017752,0.25041771123531664
GENE150X,0.42696629213483145,4.8474576271186445,0.33432899860338616,3.130434782608696,0.35853327297419646,0.18840579710144928,0.5897678246195885,0.5664251207729469,0.3041183380867522,-187.2604594886878,253.0441763222573,0.18248971940174205
GENE146X,0.5060240963855421,14.0,0.36546249943484965,6.260869565217392,0.3496357960457856,0.3713768115942029,0.650157914671245,0.6533816425120773,0.3755848155178151,-186.62204925450828,252.88925736961448,0.32978834419499076
GENE3407X,0.44680851063829785,6.761904761904762,0.36546249943484965,6.260869565217392,0.3496357960457856,0.21859903381642515,0.5582062368861089,0.5084541062801932,0.2700694044160532,-186.62204925450828,253.62128676917604,0.25946325003864634
GENE3408X,0.6037735849056605,9.68,0.47424847261008,3.8260869565217392,0.35853327297419646,0.501207729468599,0.7485896562402875,0.7170893719806763,0.4284993171389413,-182.88257640840357,248.91424902568053,0.46188155627847294
GENE3962X,0.4358974358974359,4.8474576271186445,0.19929189603475128,3.130434782608696,0.35853327297419646,0.21618357487922701,0.601929265428846,0.5585748792270531,0.27347147883087,-187.2604594886878,252.71928426428508,0.19317391623253613
GENE186X,0.53125,10.326530612244898,0.4367440512566514,3.130434782608696,0.36962426437301943,0.40579710144927533,0.7019641181630338,0.7285628019323671,0.395415753234033,-186.33013262718313,250.65426312656209,0.3561496337568948
GENE29X,0.4590163934426229,5.25,0.3714390508231942,4.695652173913044,0.36962426437301943,0.27536231884057977,0.6370220572706061,0.6056763285024155,0.32660990853913763,-186.8612868547994,252.3298414273117,0.2407717061715384
GENE998X,0.5352112676056338,10.65,0.5160984299776114,9.391304347826088,0.34026465028355385,0.42330917874396135,0.7023941115376077,0.7044082125603865,0.4697589964301936,-185.07309907358547,250.65426312656209,0.36267557150740876
GENE1440X,0.40350877192982454,6.761904761904762,0.36546249943484965,6.260869565217392,0.3496357960457856,0.17089371980676338,0.5657281230226618,0.5027173913043478,0.30843607225712416,-186.62204925450828,253.42448979591836,0.25946325003864634
GENE67X,0.5116279069767442,25.058823529411764,0.7118580028974567,18.782608695652176,0.35853327297419646,0.3870772946859904,0.6796738348201514,0.7143719806763285,0.46924726055071486,-184.27380822560008,251.7276344783615,0.4049512889945808
GENE70X,0.46808510638297873,10.326530612244898,0.31114260767206803,3.130434782608696,0.36962426437301943,0.27596618357487923,0.6167939547439613,0.6280193236714976,0.3027169712850135,-187.44838336268685,253.42448979591836,0.272051571304718
GENE1080X,0.5106382978723404,37.86666666666667,0.8144755917984832,25.043478260869566,0.31999999999999995,0.35507246376811596,0.659380473395787,0.6548913043478262,0.518129616016703,-182.79420783553968,249.86555246974808,0.4884549158529694
GENE1081X,0.45544554455445546,7.886792452830188,0.4578409523991627,6.260869565217392,0.3496357960457856,0.24577294685990342,0.620211121916394,0.5990338164251208,0.3472802033809763,-186.50648816844898,252.53321049870573,0.2638607722313173
GENE3080X,0.47368421052631576,8.461538461538462,0.1500511132099407,1.6278260869565218,0.36962426437301943,0.29649758454106284,0.6341718324267314,0.6292270531400965,0.28875205630671485,-189.5981384118368,256.7443059402893,0.2557341615232873
GENE3896X,0.5,4.4523809523809526,0.25424210752716025,2.347826086956522,0.36962426437301943,0.35024154589371986,0.6720794754015619,0.6092995169082126,0.29661191919396196,-188.10678664042928,253.0441763222573,0.3004737715441011
GENE39X,0.42105263157894735,3.227272727272727,0.17654586239834175,3.130434782608696,0.36962426437301943,0.15519323671497587,0.5646597025732799,0.5458937198067633,0.2579904926264037,-187.746012441157,253.42448979591836,0.14910483886922968
GENE3123X,0.4375,4.038461538461538,0.19929189603475128,3.130434782608696,0.35853327297419646,0.19082125603864736,0.5667945294790194,0.5202294685990339,0.25464839919513726,-187.2604594886878,253.70152788776596,0.19376893216177915
GENE71X,0.4210526315789474,6.388888888888889,0.5147414525440706,5.217391304347826,0.35853327297419646,0.2506038647342995,0.5933406610848597,0.5332125603864735,0.33853148922894516,-185.9091609441467,252.67109138724524,0.29439288355406723
GENE72X,0.4444444444444444,7.333333333333333,0.13174985763546532,3.130434782608696,0.36962426437301943,0.2065217391304348,0.5270462766947298,0.5208333333333334,0.24048430135679802,-187.746012441157,257.8413406464014,0.2211629342323457
GENE73X,0.42592592592592593,4.8474576271186445,0.17378184240520733,2.0869565217391304,0.36962426437301943,0.1388888888888889,0.5383819020581655,0.529891304347826,0.2435450985499874,-188.27201341407246,253.94837898778985,0.1938599993459332
GENE74X,0.4444444444444444,5.310344827586207,0.014730264481408122,1.332099907493062,0.36962426437301943,0.21678743961352656,0.5560384374855327,0.5401570048309179,0.2334014771496366,-193.70606978010278,253.95232670146345,0.2036797556667657
GENE75X,0.43809523809523815,5.310344827586207,0.07438981487745644,1.391304347826087,0.36962426437301943,0.18055555555555558,0.5710402407201608,0.5803140096618358,0.26311585233984836,-189.31480039902817,253.42721478384252,0.2250413993831232
